"TIME","GEO","SEX","FIELD","ISCED97","UNIT","Value","Flag and Footnotes"
"2003","European Union (current composition)","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","2,356,470","e"
"2003","European Union (current composition)","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,296,835","e"
"2003","European Union (current composition)","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,059,635","e"
"2003","European Union (before the accession of Croatia)","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","2,321,636","e"
"2003","European Union (before the accession of Croatia)","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,278,014","e"
"2003","European Union (before the accession of Croatia)","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,043,622","e"
"2003","Euro area (18 countries)","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,549,023","e"
"2003","Euro area (18 countries)","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","817,656","e"
"2003","Euro area (18 countries)","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","731,367","e"
"2003","Euro area (17 countries)","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,540,101","e"
"2003","Euro area (17 countries)","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","812,152","e"
"2003","Euro area (17 countries)","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","727,949","e"
"2003","Belgium","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","74,076",""
"2003","Belgium","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","34,949",""
"2003","Belgium","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","39,127",""
"2003","French Community in Belgium including small German-speaking Community","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","21,546",""
"2003","French Community in Belgium including small German-speaking Community","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","9,878",""
"2003","French Community in Belgium including small German-speaking Community","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","11,668",""
"2003","Flemish Community in Belgium","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","52,530",""
"2003","Flemish Community in Belgium","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","25,071",""
"2003","Flemish Community in Belgium","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","27,459",""
"2003","Bulgaria","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","31,680",""
"2003","Bulgaria","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","19,803",""
"2003","Bulgaria","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","11,877",""
"2003","Czech Republic","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","95,131",""
"2003","Czech Republic","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","51,001",""
"2003","Czech Republic","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","44,130",""
"2003","Denmark","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","31,350",""
"2003","Denmark","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","15,177",""
"2003","Denmark","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","16,173",""
"2003","Germany (until 1990 former territory of the FRG)","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","578,585",""
"2003","Germany (until 1990 former territory of the FRG)","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","302,943",""
"2003","Germany (until 1990 former territory of the FRG)","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","275,642",""
"2003","Estonia","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","3,721",""
"2003","Estonia","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","2,452",""
"2003","Estonia","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,269",""
"2003","Ireland","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","59,534",""
"2003","Ireland","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","28,533",""
"2003","Ireland","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","31,001",""
"2003","Greece","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2003","Greece","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2003","Greece","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2003","Spain","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","120,742",""
"2003","Spain","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","59,129",""
"2003","Spain","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","61,613",""
"2003","France","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2003","France","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2003","France","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2003","Croatia","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","34,834",""
